,name,year,genre,description,director,stars
809,The Visit,I) (2015,"
Horror, Mystery, Thriller            ",Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.,M. Night Shyamalan,"Olivia DeJonge ,Ed Oxenbould ,Deanna Dunagan"
810,Thithi,2015,"
Drama            ","In a South Indian village, a centenarian's funeral brings together his free-spirited son, inheritance-hungry grandson and girl-crazy great-grandson.",Raam Reddy,"Thammegowda S. ,Channegowda ,Abhishek H.N."
811,Uppi 2,2015,"
Action, Mystery, Thriller            ","A psychological thriller which depicts the fact that ""Today is a gift - that's why it's called Present"" in an unusual way. It is about a man called Neenu, who lives in the present. The film...                See full summary »
",Upendra,"Upendra ,Kristina Akheeva ,Parul Yadav"
812,10 Cloverfield Lane,2016,"
Drama, Horror, Mystery            ",A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.,Dan Trachtenberg,"John Goodman ,Mary Elizabeth Winstead ,John Gallagher Jr."
813,A Hologram for the King,2016,"
Comedy, Drama, Romance            ",A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch.,Tom Tykwer,"Tom Hanks ,Omar Elba ,Sarita Choudhury"
814,Allied,2016,"
Action, Drama, Romance            ","In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",Robert Zemeckis,"Brad Pitt ,Marion Cotillard ,Jared Harris"
815,A Monster Calls,2016,"
Adventure, Drama, Family            ","Conor, a twelve-year-old boy, encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school.",J.A. Bayona,"Lewis MacDougall ,Sigourney Weaver ,Felicity Jones"
816,Arrival,II) (2016,"
Drama, Mystery, Sci-Fi            ",A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,Denis Villeneuve,"Amy Adams ,Jeremy Renner ,Forest Whitaker"
817,Captain America: Civil War,2016,"
Action, Sci-Fi            ",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,Anthony Russo,"Joe Russo ,Chris Evans ,Robert Downey Jr."
818,Colossal,2016,"
Comedy, Drama, Fantasy            ","Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",Nacho Vigalondo,"Anne Hathaway ,Jason Sudeikis ,Austin Stowell"
819,Don't Breathe,2016,"
Crime, Horror, Thriller            ","Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",Fede Alvarez,"Stephen Lang ,Jane Levy ,Dylan Minnette"
820,Fantastic Beasts and Where to Find Them,2016,"
Adventure, Family, Fantasy            ",The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,David Yates,"Eddie Redmayne ,Katherine Waterston ,Alison Sudol"
821,Hunt for the Wilderpeople,2016,"
Adventure, Comedy, Drama            ",A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,Taika Waititi,"Sam Neill ,Julian Dennison ,Rima Te Wiata"
822,Killing Veerappan,2016,"
Action, Biography, Crime            ","A master strategist is appointed following Veerappan's unabashed spate of crimes and murders. The official puts in place Operation Cocoon, which involves setting up a network of spies and informers.",Ram Gopal Varma,"Shivarajkumar ,Sandeep Bharadwaj ,Sadh Orhan"
823,Kirik Party,2016,"
Comedy, Drama, Romance            ","Kirik Party is the story of a gang of mischievous students, lead by the protagonist Karna (Rakshit Shetty), who has just joined an engineering college.",Rishab Shetty,"Rakshit Shetty ,Rashmika Mandanna ,Samyuktha Hegde"
824,Krishna Rukku,2016,"
Drama, Romance            ","The girl and boy who have grown up together realise very late that their relationship is that of love. By the time they realise it, they are about to go separate ways.",Anil Kumar,"Ajay Rao ,Amulya ,Girija Lokesh"
825,La La Land,2016,"
Comedy, Drama, Music            ","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Damien Chazelle,"Ryan Gosling ,Emma Stone ,Rosemarie DeWitt"
826,Lights Out,II) (2016,"
Horror, Mystery            ","Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",David F. Sandberg,"Teresa Palmer ,Gabriel Bateman ,Maria Bello"
827,Morgan,2016,"
Action, Horror, Sci-Fi            ",A corporate risk-management consultant must decide whether or not to terminate an artificially created humanoid being.,Luke Scott,"Kate Mara ,Anya Taylor-Joy ,Rose Leslie"
828,Neighbors 2: Sorority Rising,2016,"
Comedy            ","When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity that lived there before, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",Nicholas Stoller,"Seth Rogen ,Rose Byrne ,Zac Efron"
829,Ouija: Origin of Evil,2016,"
Drama, Horror, Mystery            ","In 1967 Los Angeles, a widowed mother and her daughters add a new stunt to bolster their seance scam business by inviting an evil presence into their home, not realizing how dangerous it is.",Mike Flanagan,"Elizabeth Reaser ,Lulu Wilson ,Annalise Basso"
830,Passengers,I) (2016,"
Drama, Romance, Sci-Fi            ",A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.,Morten Tyldum,"Jennifer Lawrence ,Chris Pratt ,Michael Sheen"
831,Personal Shopper,2016,"
Mystery, Thriller            ",A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.,Olivier Assayas,"Kristen Stewart ,Lars Eidinger ,Sigrid Bouaziz"
832,Pink,III) (2016,"
Crime, Drama, Thriller            ","When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",Aniruddha Roy Chowdhury,"Amitabh Bachchan ,Taapsee Pannu ,Kirti Kulhari"
833,Shivalinga,2016,"
Drama, Horror, Thriller            ",A newly married CID officer is handed over a murder case which takes a personal turn when his wife happens to be involved in the case.,P. Vasu,"Shivarajkumar ,Vedhika ,Sadhu Kokila"
834,Split,IX) (2016,"
Horror, Thriller            ",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,M. Night Shyamalan,"James McAvoy ,Anya Taylor-Joy ,Haley Lu Richardson"
835,Star Trek Beyond,2016,"
Action, Adventure, Sci-Fi            ","The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",Justin Lin,"Chris Pine ,Zachary Quinto ,Karl Urban"
836,The Conjuring 2,2016,"
Horror, Mystery, Thriller            ",Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,James Wan,"Vera Farmiga ,Patrick Wilson ,Madison Wolfe"
837,The Girl with All the Gifts,2016,"
Action, Adventure, Drama            ",A scientist and a teacher living in a dystopian future embark on a journey of survival with a special young girl named Melanie.,Colm McCarthy,"Sennia Nanua ,Fisayo Akinade ,Dominique Tipper"
838,Ah-ga-ssi,2016,"
Drama, Romance, Thriller            ","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Park Chan-wook,"Kim Min-hee ,Ha Jung-woo ,Cho Jin-woong"
839,The Founder,2016,"
Biography, Drama            ","The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.",John Lee Hancock,"Michael Keaton ,Nick Offerman ,John Carroll Lynch"
840,The Jungle Book,2016,"
Animation, Action, Adventure            ","After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",Jon Favreau,"Neel Sethi ,Bill Murray ,Ben Kingsley"
841,The Legend of Tarzan,2016,"
Action, Adventure, Drama            ","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",David Yates,"Alexander Skarsgård ,Rory J Saper ,Christian Stevens"
842,The Light Between Oceans,2016,"
Drama, Romance            ",A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat.,Derek Cianfrance,"Michael Fassbender ,Alicia Vikander ,Rachel Weisz"
843,The Nice Guys,2016,"
Action, Comedy, Crime            ","In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",Shane Black,"Russell Crowe ,Ryan Gosling ,Angourie Rice"
844,The Other Side of the Door,2016,"
Horror, Thriller            ","After her young son is killed in a tragic accident, a woman learns of a ritual which will bring him back to say goodbye, but when she disobeys a sacred warning, she upsets the balance between life and death.",Johannes Roberts,"Sarah Wayne Callies ,Jeremy Sisto ,Sofia Rosinsky"
845,The Purge: Election Year,2016,"
Action, Horror, Sci-Fi            ","Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge.",James DeMonaco,"Frank Grillo ,Elizabeth Mitchell ,Mykelti Williamson"
846,The Shallows,2016,"
Action, Drama, Horror            ","A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",Jaume Collet-Serra,"Blake Lively ,Óscar Jaenada ,Angelo Josue Lozano Corzo"
847,U Turn,I) (2016,"
Crime, Horror, Mystery            ",A journalist who intends to write an article on traffic rule breakers gets dragged into a whirlpool of murder cases and deception.,Pawan Kumar,"Shraddha Srinath ,Roger Narayan ,Radhika Narayan"
848,Udta Punjab,2016,"
Action, Crime, Drama            ",A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,Abhishek Chaubey,"Shahid Kapoor ,Alia Bhatt ,Kareena Kapoor"
849,Santhu Straight Forward,2016,"
Action, Drama, Romance            ","Santhu is the typical do-gooder youngster, who is also the angry young hero. He falls for college student Ananya after a series of chance meetings. But, there's also dreaded don Deva in the picture forming the triangle.",Mahesh Rao,"Jocky ,Yash ,Radhika Pandit"
850,American Made,2017,"
Action, Comedy, Crime            ","The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.",Doug Liman,"Tom Cruise ,Domhnall Gleeson ,Sarah Wright"
851,Chamak,2017,"
Comedy            ","Kush, a gynaecologist and a playboy refuses his family's wishes to marry because his freedom will be curtailed if he marries. He later marries Khushi, an innocent girl while acting as if he is also an innocent guy in front of her family.",Suni,"Ganesh ,Rashmika Mandanna ,Sanjana Shetty"
852,Get Out,I) (2017,"
Horror, Mystery, Thriller            ","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Jordan Peele,"Daniel Kaluuya ,Allison Williams ,Bradley Whitford"
853,Life,I) (2017,"
Horror, Sci-Fi, Thriller            ",A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,Daniel Espinosa,"Jake Gyllenhaal ,Rebecca Ferguson ,Ryan Reynolds"
854,Logan,2017,"
Action, Drama, Sci-Fi            ","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,"Hugh Jackman ,Patrick Stewart ,Dafne Keen"
855,Risen,2016,"
Action, Drama, History            ","In 33 AD, a Roman Tribune in Judea is tasked to find the missing body of Jesus Christ, who rose from the dead.",Kevin Reynolds,"Joseph Fiennes ,Tom Felton ,Peter Firth"
856,Ondu Motteya Kathe,2017,"
Comedy, Drama            ","Janardhan a 28 year old Kannada Lecturer from Mangalore who is quite an introvert comes to know from an astrologer that he would attain sanyasa (embrace asceticism) if he doesn't get ...                See full summary »
",Raj B. Shetty,"Raj B. Shetty ,Prakash Thuminad ,Usha Bhandary"
857,Dirty Pretty Things,2002,"
Crime, Drama, Thriller            ","Irregular migrants Okwe and Senay work at a posh London hotel and live in constant fear of deportation. One night Okwe stumbles across evidence of a bizarre murder, setting off a series of events that could lead to disaster or freedom.",Stephen Frears,"Chiwetel Ejiofor ,Audrey Tautou ,Sophie Okonedo"
858,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"
Action, Adventure, Comedy            ","The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang.",Dave Green,"Megan Fox ,Will Arnett ,Tyler Perry"
859,Happy Death Day,2017,"
Comedy, Horror, Mystery            ","A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity.",Christopher Landon,"Jessica Rothe ,Israel Broussard ,Ruby Modine"
860,Thor: Ragnarok,2017,"
Action, Adventure, Comedy            ","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Taika Waititi,"Chris Hemsworth ,Tom Hiddleston ,Cate Blanchett"
861,Heartbreakers,2001,"
Comedy, Crime, Romance            ",A mother and daughter con team seduce and scam wealthy men.,David Mirkin,"Sigourney Weaver ,Jennifer Love Hewitt ,Gene Hackman"
862,Operation Alamelamma,2017,"
Comedy, Thriller            ",Purmy's life takes a drastic turn when he is threatened to pay the ransom for rescuing his school-going son and gets unjustly arrested for the same.,Suni,"Manish Rishi ,Shraddha Srinath ,Rajesh Nataranga"
863,Amen.,2002,"
Biography, Crime, Drama            ",During WWII SS officer Kurt Gerstein tries to inform Pope Pius XII about Jews being sent to extermination camps. Young Jesuit priest Riccardo Fontana helps him in the difficult mission to inform the world.,Costa-Gavras,"Ulrich Tukur ,Mathieu Kassovitz ,Ulrich Mühe"
864,Valerian and the City of a Thousand Planets,2017,"
Action, Adventure, Fantasy            ","A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.",Luc Besson,"Dane DeHaan ,Cara Delevingne ,Clive Owen"
865,The Deep End,2001,"
Crime, Drama, Mystery            ",A woman spirals out of control while trying to keep her son from being found culpable in a murder investigation.,Scott McGehee,"David Siegel ,Tilda Swinton ,Goran Visnjic"
866,Free State of Jones,2016,"
Action, Biography, Drama            ",A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government.,Gary Ross,"Matthew McConaughey ,Gugu Mbatha-Raw ,Mahershala Ali"
867,Matchstick Men,2003,"
Comedy, Crime, Drama            ",A phobic con artist and his protégé are on the verge of pulling off a lucrative swindle when the former's teenage daughter arrives unexpectedly.,Ridley Scott,"Nicolas Cage ,Alison Lohman ,Sam Rockwell"
868,Ghost Ship,2002,"
Horror, Mystery, Thriller            ","A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board.",Steve Beck,"Julianna Margulies ,Gabriel Byrne ,Ron Eldard"
869,Black Hawk Down,2001,"
Action, Drama, History            ","The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",Ridley Scott,"Josh Hartnett ,Ewan McGregor ,Tom Sizemore"
870,Layer Cake,2004,"
Action, Crime, Drama            ",A successful cocaine dealer gets two tough assignments from his boss on the eve of his planned early retirement.,Matthew Vaughn,"Daniel Craig ,Sienna Miller ,Michael Gambon"
871,Florence Foster Jenkins,2016,"
Biography, Comedy, Drama            ","The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice.",Stephen Frears,"Meryl Streep ,Hugh Grant ,Simon Helberg"
872,Unfaithful,2002,"
Drama, Romance, Thriller            ",A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.,Adrian Lyne,"Richard Gere ,Diane Lane ,Olivier Martinez"
873,The Count of Monte Cristo,2002,"
Action, Adventure, Drama            ","A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",Kevin Reynolds,"Jim Caviezel ,Guy Pearce ,Christopher Adamson"
874,Wonder Wheel,2017,"
Drama, Romance            ","On Coney Island in the 1950s, a lifeguard tells the story of a middle-aged carousel operator, his beleaguered wife and the visitor who turns their lives upside-down.",Woody Allen,"Justin Timberlake ,Juno Temple ,Robert C. Kirk"
875,Tagaru,2018,"
Action, Crime            ",Duniya Soori's Tagaru takes us on a bloody ride through the dark underbelly of the underworld and their clash against the police.,Suri,"Abhi ,Shivarajkumar ,Manvita Kamath"
876,The Shape of Water,2017,"
Drama, Fantasy, Romance            ","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",Guillermo del Toro,"Sally Hawkins ,Octavia Spencer ,Michael Shannon"
877,"I, Tonya",2017,"
Biography, Comedy, Drama            ","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",Craig Gillespie,"Margot Robbie ,Sebastian Stan ,Allison Janney"
878,"Three Billboards Outside Ebbing, Missouri",2017,"
Comedy, Crime, Drama            ",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,"Frances McDormand ,Woody Harrelson ,Sam Rockwell"
879,Lady Bird,2017,"
Comedy, Drama            ","In 2002, an artistically inclined 17-year-old girl comes of age in Sacramento, California.",Greta Gerwig,"Saoirse Ronan ,Laurie Metcalf ,Tracy Letts"
880,Jumanji: Welcome to the Jungle,2017,"
Action, Adventure, Comedy            ","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",Jake Kasdan,"Dwayne Johnson ,Karen Gillan ,Kevin Hart"
881,The Hateful Eight,2015,"
Crime, Drama, Mystery            ","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",Quentin Tarantino,"Samuel L. Jackson ,Kurt Russell ,Jennifer Jason Leigh"
882,Spotlight,I) (2015,"
Biography, Crime, Drama            ","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Tom McCarthy,"Mark Ruffalo ,Michael Keaton ,Rachel McAdams"
883,Annihilation,I) (2018,"
Adventure, Drama, Horror            ","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",Alex Garland,"Natalie Portman ,Jennifer Jason Leigh ,Tessa Thompson"
884,Call Me by Your Name,2017,"
Drama, Romance            ","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",Luca Guadagnino,"Timothée Chalamet ,Armie Hammer ,Michael Stuhlbarg"
885,Blade Runner 2049,2017,"
Action, Drama, Mystery            ","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,"Harrison Ford ,Ryan Gosling ,Ana de Armas"
886,Downsizing,2017,"
Drama, Fantasy, Sci-Fi            ","A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.",Alexander Payne,"Matt Damon ,Christoph Waltz ,Hong Chau"
887,Insidious: Chapter 2,2013,"
Horror, Mystery, Thriller            ","The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily.",James Wan,"Patrick Wilson ,Rose Byrne ,Barbara Hershey"
888,Legally Blonde,2001,"
Comedy, Romance            ","Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.",Robert Luketic,"Reese Witherspoon ,Luke Wilson ,Selma Blair"
889,A Lot Like Love,2005,"
Comedy, Drama, Romance            ",Unacquainted Emily and Oliver join the mile-high club together on the way from LAX to NYC--end of story. Except that they keep meeting constantly over the next seven years..,Nigel Cole,"Ashton Kutcher ,Amanda Peet ,Taryn Manning"
890,The Post,2017,"
Biography, Drama, History            ",A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.,Steven Spielberg,"Meryl Streep ,Tom Hanks ,Sarah Paulson"
891,Avengers: Infinity War,2018,"
Action, Adventure, Sci-Fi            ",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo,"Joe Russo ,Robert Downey Jr. ,Chris Hemsworth"
892,A Quiet Place,2018,"
Drama, Horror, Sci-Fi            ",A family struggles for survival in a world where most humans have been killed by blind but noise-sensitive creatures. They are forced to communicate in sign language to keep the creatures at bay.,John Krasinski,"Emily Blunt ,John Krasinski ,Millicent Simmonds"
893,Venom,2018,"
Action, Adventure, Sci-Fi            ","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",Ruben Fleischer,"Tom Hardy ,Michelle Williams ,Riz Ahmed"
894,Sankashta Kara Ganapathi,2018,"
Comedy, Romance            ",A cartoonist with a neurological disorder tries to achieve his goal and also goes on to impress the girl he loves.,Arjun Kumar,"Akshara ,Kiran Chengappa ,Shruti Goradia"
895,A Simple Favor,2018,"
Comedy, Crime, Mystery            ","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",Paul Feig,"Anna Kendrick ,Blake Lively ,Henry Golding"
896,"Sarkari. Hi. Pra. Shale Kasaragodu, Koduge: Ramanna Rai",2018,"
Drama            ",The happy and mischief-filled lives of the children of a Kannada medium school in Kerala are brought to a halt when the government decided to close the school.,Rishab Shetty,"Anant Nag ,Ramesh Bhat ,Mahendra"
897,K.G.F: Chapter 1,2018,"
Action, Crime, Drama            ","In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the Kolar Gold Fields.",Prashanth Neel,"Yash ,Srinidhi Shetty ,Ramachandra Raju"
898,Elizabeth Harvest,2018,"
Horror, Sci-Fi, Thriller            ","An extremely wealthy, and brilliant scientist, has the nasty habit of brutally killing his wife, cloning her, marring her again, and then repeating the process.",Sebastian Gutierrez,"Abbey Lee ,Ciarán Hinds ,Carla Gugino"
899,Mission: Impossible - Fallout,2018,"
Action, Adventure, Thriller            ","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Christopher McQuarrie,"Tom Cruise ,Henry Cavill ,Ving Rhames"
900,Blockers,2018,"
Comedy, Drama            ",Three parents try to stop their daughters from losing their virginity on prom night.,Kay Cannon,"Leslie Mann ,John Cena ,Ike Barinholtz"
901,Destination Wedding,2018,"
Comedy, Drama, Romance            ","The story of two miserable and unpleasant wedding guests, Lindsay and Frank, who develop a mutual affection despite themselves.",Victor Levin,"Winona Ryder ,Keanu Reeves ,DJ Dallenbach"
902,The Favourite,2018,"
Biography, Comedy, Drama            ","In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.",Yorgos Lanthimos,"Olivia Colman ,Emma Stone ,Rachel Weisz"
903,Eighth Grade,2018,"
Comedy, Drama, Horror            ",An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,Bo Burnham,"Elsie Fisher ,Josh Hamilton ,Emily Robinson"
904,Mortal Engines,2018,"
Action, Adventure, Fantasy            ","In a post-apocalyptic world where cities ride on wheels and consume each other to survive, two people meet in London and try to stop a conspiracy.",Christian Rivers,"Hera Hilmar ,Robert Sheehan ,Hugo Weaving"
905,Instant Family,2018,"
Comedy, Drama            ",A couple find themselves in over their heads when they foster three children.,Sean Anders,"Mark Wahlberg ,Rose Byrne ,Isabela Merced"
906,Green Book,2018,"
Biography, Comedy, Drama            ",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,"Viggo Mortensen ,Mahershala Ali ,Linda Cardellini"
907,Aquaman,2018,"
Action, Adventure, Fantasy            ","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",James Wan,"Jason Momoa ,Amber Heard ,Willem Dafoe"
908,Spider-Man: Into the Spider-Verse,2018,"
Animation, Action, Adventure            ",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,Bob Persichetti,"Peter Ramsey ,Rodney Rothman ,Shameik Moore"
909,Hereditary,2018,"
Drama, Horror, Mystery            ",A grieving family is haunted by tragic and disturbing occurrences.,Ari Aster,"Toni Collette ,Milly Shapiro ,Gabriel Byrne"
910,The Babysitter,I) (2017,"
Comedy, Horror            ","When Cole stays up past his bedtime, he discovers that his hot baby sitter belongs to a satanic cult that will stop at nothing to keep him quiet.",McG,"Judah Lewis ,Samara Weaving ,Robbie Amell"
911,Road Games,2015,"
Drama, Horror, Mystery            ",The sun drenched days of summer turn dark and ominous for hitchhiking duo Jack and Véronique when they become inexplicably entangled with a mysterious married couple and a local road kill collector in rural France.,Abner Pastoll,"Andrew Simpson ,Joséphine de La Baume ,Frédéric Pierrot"
912,Avengers: Endgame,2019,"
Action, Adventure, Drama            ","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Anthony Russo,"Joe Russo ,Robert Downey Jr. ,Chris Evans"
913,Happy Death Day 2 U,2019,"
Comedy, Horror, Mystery            ",Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.,Christopher Landon,"Jessica Rothe ,Israel Broussard ,Phi Vu"
914,Booksmart,2019,"
Comedy            ","On the eve of their high-school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night.",Olivia Wilde,"Kaitlyn Dever ,Beanie Feldstein ,Jessica Williams"
915,The Perfection,2018,"
Drama, Horror, Music            ","When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences.",Richard Shepard,"Marie Maskell ,Allison Williams ,Christina Jastrzembska"
916,Kavaludaari,2019,"
Crime, Drama, Mystery            ","The accidental discovery of human bones during a road-widening project leads a local traffic cop into the mystery of a 40-year-old case. His investigation leads him across trails that will put his wit, resolve and morals to the test.",Hemanth M. Rao,"Suman Ranganath ,Achyuth Kumar ,Anant Nag"
917,99,I) (2019,"
Drama            ","Ramachandra and Janaki meet up 20 years after graduating high school, class of 1999, at a reunion party.",Preetham Gubbi,"Ganesh ,Bhavana ,Samiksha"
918,Alita: Battle Angel,2019,"
Action, Adventure, Sci-Fi            ","A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.",Robert Rodriguez,"Rosa Salazar ,Christoph Waltz ,Jennifer Connelly"
919,Reindeer Games,2000,"
Action, Crime, Thriller            ","After assuming his dead cell-mate's identity to get with the other man's girlfriend, an ex-convict finds himself a reluctant participant in a casino heist.",John Frankenheimer,"Ben Affleck ,Gary Sinise ,Charlize Theron"
920,Truth or Dare,I) (2018,"
Horror, Thriller            ",A harmless game of Truth or Dare among friends turns deadly when someone - or something - begins to punish those who tell a lie or refuse the dare.,Jeff Wadlow,"Lucy Hale ,Tyler Posey ,Violett Beane"
921,Ghostland,2018,"
Drama, Horror, Mystery            ","A mother of two who inherits a house is confronted with murderous intruders on the first night in their new home and fights for her daughters' lives. Sixteen years later when the daughters reunite at the house, things get really strange.",Pascal Laugier,"Crystal Reed ,Mylène Farmer ,Anastasia Phillips"
922,It Chapter Two,2019,"
Drama, Fantasy, Horror            ","Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",Andy Muschietti,"Jessica Chastain ,James McAvoy ,Bill Hader"
