,name,year,genre,description,director,stars
310,Eternal Sunshine of the Spotless Mind,2004,"
Drama, Romance, Sci-Fi            ","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",Michel Gondry,"Jim Carrey ,Kate Winslet ,Tom Wilkinson"
311,EuroTrip,2004,"
Comedy            ","Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends.",Jeff Schaffer,"Alec Berg ,David Mandel ,Scott Mechlowicz"
312,Finding Neverland,2004,"
Biography, Drama, Family            ",The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,Marc Forster,"Johnny Depp ,Kate Winslet ,Julie Christie"
313,Harold & Kumar Go to White Castle,2004,"
Adventure, Comedy            ",A Korean-American office worker and his Indian-American stoner friend embark on a quest to satisfy their desire for White Castle burgers.,Danny Leiner,"John Cho ,Kal Penn ,Ethan Embry"
314,Harry Potter and the Prisoner of Azkaban,2004,"
Adventure, Family, Fantasy            ","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",Alfonso Cuarón,"Daniel Radcliffe ,Emma Watson ,Rupert Grint"
315,Hellboy,2004,"
Action, Adventure, Fantasy            ","A demon raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",Guillermo del Toro,"Ron Perlman ,Doug Jones ,Selma Blair"
316,Hum Tum,2004,"
Comedy, Drama, Romance            ",A novel look at the eternal battle of the sexes and the trials and tribulations of Karan and Rhea and their attempts to understand each other.,Kunal Kohli,"Saif Ali Khan ,Rani Mukerji ,Kirron Kher"
317,"I, Robot",2004,"
Action, Mystery, Sci-Fi            ","In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.",Alex Proyas,"Will Smith ,Bridget Moynahan ,Bruce Greenwood"
318,Lakshya,2004,"
Action, Drama, Romance            ","An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.",Farhan Akhtar,"Hrithik Roshan ,Preity G Zinta ,Amitabh Bachchan"
319,Main Hoon Na,2004,"
Action, Comedy, Drama            ","An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",Farah Khan,"Shah Rukh Khan ,Sushmita Sen ,Suniel Shetty"
320,Mean Girls,2004,"
Comedy            ","Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",Mark Waters,"Lindsay Lohan ,Jonathan Bennett ,Rachel McAdams"
321,Napoleon Dynamite,2004,"
Comedy            ","A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",Jared Hess,"Jon Heder ,Efren Ramirez ,Jon Gries"
